Terim,Açıklama
"DİBS (Devlet İç Borçlanma Senetleri)","Hazinenin bir yıl ve daha uzun vadeli iç borçlanmada kullandığı senetlere Devlet Tahvili, bir yıldan kısa vadeli iç borçlanmalarda kullandığı senetlere ise Hazine Bonosu adı veriliyor. Her iki borçlanma senedine ortaklaşa olarak Devlet İç Borçlanma Senetleri deniyor ve DİBS kısaltmasıyla gösteriliyor. DİBS’ler, Hazine’nin yaptığı borçlanmanın vade yapısına göre farklılık gösterir."
"Disponibilite","Merkez Bankası’nın bankaların kabul ettiği mevduata karşılık kasalarında tutulmasını zorunlu kıldığı parasal karşılıklardır. Ankes zorunlu olmadığı halde disponibilite zorunludur."
"Doğal işsizlik oranı","Milton Friedman, geçici ve yapısal işsizlik biçiminde ortaya çıkan işsizliği ‘doğal işsizlik’ ve bunun oranına da ‘doğal işsizlik oranı’ adını veriyor. Bu tür hesaplamalar genellikle uzun yıllar ortalaması alınarak yapılır."
"Doğrudan Alım","Genellikle piyasada kalıcı likidite sıkışıklığı olduğunda kullanılan doğrudan alım işlemleri, Merkez Bankası tarafından tedavülde bulunan kıymetlerin, işlem tarihinde belirlenmiş fiyat üzerinden satın alınması işlemidir."
"Doğrudan Satım","Genellikle piyasada kalıcı likidite fazlası olan durumlarda kullanılan doğrudan satım işlemleri, Merkez Bankası tarafından mevcut kıymetlerin, işlem tarihinde belirlenmiş fiyat üzerinden satılması işlemidir."
"Doğrudan Sermaye Yatırımı","Doğrudan yabancı sermaye yatırımı; yatırımcının yerleşik olduğu ekonomi dışındaki bir ekonomide bir işletmenin yönetimini kontrol ettiği veya yönetiminde söz sahibi olduğu uzun vadeli bir yatırım şeklidir."
"Dolar Endeksi","ABD Dolar Endeksi, Amerikan dolarının 6 büyük para biriminin oluşturduğu döviz sepetine karşı değerini ölçen bir endekstir. DXY kısaltmasıyla ifade edilir."
"Dolarizasyon","Bir ülkede yerli para dışında yabancı paraların da günlük alış verişlerde yaygın biçimde kullanılmasına dolarizasyon adı veriliyor."
"Dördüncü Madde Konsültasyonu","IMF'nin anasözleşmesinin dördüncü maddesi gereğince üye ülkelerde yılda bir kez gerçekleştirdiği ekonomik inceleme ve değerlendirme sürecidir."
"Dördüncü Sanayi Devrimi","Dünya artık robotların üretime gireceği bir aşamaya geçmeye hazırlanıyor. Bu yeni düzene de 4. Sanayi Devrimi adı veriliyor."
"Döviz ve Döviz Kuru Nedir ve Nasıl Belirlenir?","Döviz, yabancı ülke paralarına verilen genel addır. Döviz kuru, bir ülkenin parasının yabancı paralar karşısındaki değerini belirleyen katsayıdır."
"Döviz Depo İşlemleri","Döviz depo işlemleri, geçici döviz likiditesi ihtiyacı olan bankalar ile fazlası olan bankalar arasında Merkez Bankası garantörlüğünde yapılan işlemlerdir."
"Dünya Bankası (The World Bank, IBRD)","Dünya Bankası, üye ülkelerin gelişme projelerini finanse eden Birleşmiş Milletler'in özerk kuruluşlarından biridir."
"Ekonomide Isınma","Ekonominin ısınması, GSYH büyümesinin potansiyel büyümenin ötesine geçmesi anlamına gelir."
"Ekonomide Büyüme ve Fiyatlar İlişkisi","Ekonomiler büyüme ve enflasyonla ilişkilerine göre dörde ayrılır: enflasyonsuz büyüme, enflasyonlu büyüme, stagflasyon, slumpflasyon."
"Ekonomik Safsata","Bir düşünceyi ortaya koyarken ya da anlamaya çalışırken yapılan yanlış çıkarsamaya dayalı olarak ortaya atılan düşünceye safsata adı veriliyor. Bir başka tanımlamaya göre safsata, ilk bakışta geçerli gibi görünmekle birlikte yakından incelendiğinde doğru olmadığı ortaya çıkabilen iddialardır. Safsataların en yaygın olduğu alanların başında ekonomi geliyor. Henry Hazlitt bu durumu “Ekonomi, bütün diğer bilimlerden daha fazla safsatanın etkisi altındadır” sözüyle özetliyor. Bazen safsatalar öylesine mantıklı görünür ki insan sorup soruşturmadan arkasına takılır gider. Soruşturmayı çoğu kez gerekli görmeyiz çünkü böyle bir safsatayı uydurmanın kimseye bir yararı olmadığı gibi bir nedeni de yoktur. Sherlock Holmes’e göre: “Çözülmesi en zor suçlar, nedensiz işlenen suçlardır.”"
"Ekonometri","Ekonometri, ekonomik verileri, ekonomideki ilişkileri, matematik, istatistik ve bilgisayar bilimi aracılığıyla deneysel bir biçimde değerlendirerek, inceleyen bilim dalıdır. Günümüzde daha güçlü bilgisayar yazılımların varlığıyla ekonometrik analizlerin gücü artmıştır. Kelime kökeni olarak 'ekonomik ölçüm' anlamına gelmektedir. Matematiksel İktisat, İstatistik ve Ekonomi Teorisi'nin bir birleşiminden oluşur. Ekonomik teorinin deneysel analizle sınanmasını mümkün kılar. Örneğin talep eğrisinin ekonomi Teorisinin öngördüğü gibi aşağı doğru eğimli (negatif eğimli) olup olmadığı ekonometrik yöntemlerle test edilir. Ekonomi Teorisi eğim katsayısının kesin değeri hakkında bir yorumda bulunmazken, Ekonometri ile eğim katsayısının değeri kestirilmeye çalışılır. Talep eğrisi örneğinde bir malın fiyatında meydana gelen bir birimlik artışın, talep miktarında herhangi bir azalmaya yol açıp açmadığı, azalma oluyorsa belli bir aralıkta yaklaşık olarak ne kadar bir azalmayı beraberinde getirdiği ekonometri ile ölçülür. Ekonometrinin en çok kullanılan yöntemi regresyon analizidir."
"Emperyalizm","Emperyalizm; bir devletin, başka devlet veya uluslar üzerinde kendi çıkarları doğrultusunda etkide bulunmaya yönelik faaliyetleridir. Emperyalist devlet, etkisi altına aldığı devletin kaynaklarından yararlanmaya başlar. Emperyalizm kavramı 1870'lerde İngiltere’de ortaya çıkmıştır. Emperyalizmi tanımlamak için kullanılan ölçüler şunlardır: Bir ülkenin topraklarını başka bir ülke aleyhine genişletmesi, bir devletin başka bir devleti vergiye bağlaması, bir devletin başka bir devletin topraklarındaki kaynaklardan yararlanması, bir devletin başka bir devletin halkına kendi kültürünü yayması. Görüleceği üzere emperyalizm, ekonomik sonuçların ötesinde sonuçları da olan bir faaliyetler toplamıdır. 1900’lerde Lenin, emperyalizmi kapitalizmin en yüksek aşaması olarak tanımlayarak basit sömürgecilik yerine ekonomik nüfuzun daha karmaşık şekillerine dikkat çekmiş, pazarların, arz kaynaklarının ve yatırım yollarının egemenlik altına alınması ile ilgilenmiştir. Günümüzde emperyalizm, bir devletin başka devletlerin topraklarını ele geçirmesinden çok, başka devletlerin ekonomilerinde ve kültürel yaşamlarında egemen olması şeklinde anlaşılmaktadır."
"Emtia ve Emtia Piyasası","Arapça kökenli bir sözcük olan emtia, mal anlamına gelen meta sözcüğünün çoğul halidir. Bununla birlikte Türkçede hem tekil hem de çoğul anlamında emtia sözcüğü kullanılır olmuştur. Emtia; alım ve satıma yani ticarete konu olan bütün mallara verilen ortak isimdir. Altın, petrol, bakır gibi doğal maddeler, buğday, mısır, arpa gibi gıda ürünleri, metaller ve mineraller ile kendinden başka bir ürünün yapımında kullanılan hammaddelerin oluşturduğu mallara verilen isimdir. Emtia ticaretinin gerçekleştiği piyasaya 'Emtia Borsası' denir. Emtia borsaları belirli emtiaların alım satımında uzmanlaşabileceği gibi daha genel borsalar olarak da örgütlenebilmektedir."
"Enflasyon","Enflasyon, fiyatlar genel düzeyinin sürekli olarak artış göstermesi demektir. Bu tanıma göre enflasyondan söz edebilmek için iki önemli unsur gerekiyor: (1) Fiyatların değil fiyatlar genel düzeyinin artması gerekiyor. (2) Bu artışın sürekli olması gerekiyor. Diyelim ki bir ay içinde domatesin, biberin ve beyaz peynirin fiyatları arttı. Bu artış enflasyon değil fiyat artışıdır. Bunun enflasyon olarak tanımlanabilmesi için içinde bulunduğu sepetin toplamında bir artış olması gerekir. Diyelim ki sepetimizde her birine eşit ağırlık verdiğimiz 100 çeşit mal var. Bu malların yarısının fiyatı artmış yarısının fiyatı düşmüş ve sonuçta sepete ödediğimiz para bir önceki aya göre değişmemişse enflasyondan söz edemeyiz. Olsa olsa bazı malların fiyatlarının arttığından bazılarının düştüğünden söz edebiliriz. Diyelim ki sepetimizdeki malların fiyatları toplam olarak o ay içinde bir önceki aya göre yüzde 10 arttı ve bu artış sonraki aylarda devam etmeyerek o düzeyde kaldı. Buna da enflasyon diyemeyiz bu da sadece fiyat artışıdır çünkü sürekliliği yoktur."
"Enflasyon Vergisi","Para, parayı basan açısından yükümlülük, elinde tutanlar açısından varlıktır. Enflasyon, paranın satın alma gücünü düşürdüğü için parayı ihraç eden devletin yükümlülüğünü, parayı elde tutanların ise varlığını reel olarak azaltır. Bu anlamı ile enflasyon, gelir elde eden açısından vergi özelliği taşımakta, dolayısıyla vergi gibi satın alma gücünün devlete transferine neden olmaktadır. Özetle söylemek gerekirse enflasyon vergisi, elinde para bulunduranların fiyatlardaki artıştan dolayı satın alma güçlerinin, devlet açısından ise borç vb gibi yükümlülüklerinin azalması demektir. Düşük gelirli kesim parayı faiz ve benzeri finansal araçlara yatıramayıp yalnızca harcamalarında kullandığından dolayı enflasyondan doğrudan etkilenir. Oysa yüksek gelirli kesimin elindeki para enflasyona paralel olarak finansal araçların nominal getirisinin artmasıyla değerini korur. Fiyatları doğru belirleyemeyenler enflasyon vergisine maruz kalır. Örneğin, iş sözleşmesi yapan bir işçi belli bir aylık ücret üzerinden işverenle anlaşır bu anlaşma sırasında gelecekteki enflasyonu da dikkate alır. Enflasyon beklenenden yüksek olursa enflasyonu yanlış fiyatladığı için enflasyon vergisine maruz kalır."
"Erteleme ve Yeniden Finansman","Tahkim ve değiştirme İşlemlerinin yanında borç ertelemesi deyimi de yaygın bir şekilde kullanılmaktadır. Gerçekte bu deyim geniş ölçüde tahkim ile aynı anlama gelmekte ve fakat bazen değiştirmeyi de kapsayacak şekilde faiz indirimine de yol açabilecek şekilde uygulanmaktadır. Özellikle Güney Amerika ülkelerinin, borçlarını ödeyememek sorunuyla karşılaştıkları dönemlerde bu ikili yapıyı taşıyan erteleme uygulamaları yapılmıştır. Burada amaç, mevcut haliyle tahsili zorlaşan bir alacağı vade uzatımı ve faiz indirimi yaparak ödenebilir şekle getirmektir. Yeniden finansman borç ertelemesinin özel bir şekli olup, süresi dolan bir borcun bir başka kredi ile değiştirilmesidir. Genellikle, alınan yeni kredi daha düşük faizli olacağı ve borç yükünü hafifleteceği için bu işleme başvurulur. Erteleme ile yeniden finansman arasında az da olsa fark vardır. Ertelemede süresi gelen borcu vadesinin ileriye alınması, yeniden finansmanda eski borcun tümüyle kapatılıp yeni bir krediyle değiştirilmesi söz konusudur."
"Esneklik (Elasticity)","Herhangibir denklemde bağımlı değişkenin bağımsız değişkendeki bir değişikliğe karşı verdiği tepkiyi ölçmeye yarayan birime esneklik denir."
"Euro","Euro bölgesine katılan Avrupa Birliği üyesi ülkelerin ortak para birimidir. 1 Ocak 1999 tarihinde ilk olarak dolanıma çıkarılmıştır. Madeni para birimi cent adını taşımaktadır."
"Euro Bölgesi (Euro Zone)","Maastricht kriterlerine tabi olan ve ortak para birimi Euro'yu kullanan Avrupa Birliği üyesi ülkelerin oluşturduğu bölgenin adıdır."
"Faiz Nedir? Nasıl Belirlenir?","Piyasa açısından bakarsak faizi, tasarruf sahibinin, tasarrufunu, ihtiyacı olana belirli süre için kullandırmasının karşılığı olarak aldığı bedel olarak tanımlayabiliriz. Ekonomi bilimi açısından faiz iki farklı biçimde tanımlanır: (1) Bir borç anlaşmasının satışı sonrasında elde edilen getirisi. (2) Üretim amaçlı olarak kullanılan sermayenin getirisi. Türkiye’de bankaların uyguladığı mevduat ve kredi faizleri bankalar tarafından serbestçe belirleniyor. Buna karşılık bankalar bu belirlemede TCMB’nin faiz kararlarından ve zorunlu karşılıklar uygulamalarından etkileniyorlar. TCMB, kendi uyguladığı faizleri Para Politikası Kurulu kararıyla belirliyor. Hazine’nin yaptığı iç borçlanmada ihraç ettiği DİBS’lerin faizleri ise bunların satışa çıkarıldığı ihalelerde ya da endekslendiği değerlerin faizlerine veya endeks değerlerine göre belirleniyor."
